corp_ceref,corp_name,ro_ceref,ro_full_name,ro_name_chi,ro_ra_types
APX121,Segantii Capital Management Limited,AFJ906,SADLER Simon Peter,,9
AOY006,SanJohn Capital Limited,AUT628,CHEN Lizhong,陳立忠,9
AOY006,SanJohn Capital Limited,AVA418,LUO Qian,羅倩,9
AQG407,Sigma Capital Management Limited,BNJ908,HUO Zheng,霍正,"1,4,9"
AQG407,Sigma Capital Management Limited,BRR695,TANG Qiao,唐喬,9
AQG407,Sigma Capital Management Limited,BKO311,WU Zhaoqian,吳肇倩,"1,4,9"
AQG407,Sigma Capital Management Limited,BWK670,ZHANG XIAOFENG,張曉鋒,"4,9"
AQG442,Samsung Asset Management (Hong Kong) Limited,APD921,CHEUNG Ronney Lok-yin,張樂賢,"4,9"
AQG442,Samsung Asset Management (Hong Kong) Limited,AQX965,FENG Chen,馮晨,"4,9"
AQG442,Samsung Asset Management (Hong Kong) Limited,BVF391,LEE Jong Hun,李宗勳,"4,9"
AQG442,Samsung Asset Management (Hong Kong) Limited,AEI864,RICHARDSON Alan Jack Newman,,"4,9"
ARE534,Sensible Asset Management Hong Kong Limited,AQM113,CHING Wing Tat,陳榮達,"4,9"
ARE534,Sensible Asset Management Hong Kong Limited,AAZ906,HO Man Kei,何民基,"4,9"
ARE534,Sensible Asset Management Hong Kong Limited,AVX024,HUI Kiu Tat,許喬達,"4,9"
ARE534,Sensible Asset Management Hong Kong Limited,ANK801,LUO Jing,羅景,"4,9"
ARE534,Sensible Asset Management Hong Kong Limited,ALU918,YU Xiao,于霄,"4,9"
ARE534,Sensible Asset Management Hong Kong Limited,AWY586,ZHAO Zhao,趙曌,4
ARM224,Susquehanna Hong Kong Limited,BBP054,HOOD David Lionel,,"1,2,9"
ARM224,Susquehanna Hong Kong Limited,BIS082,"POON Ting Ching, George",潘廷正,"1,2,9"
ARI207,SDHG International Asset Management Limited,AHU700,"HO Ching Man, Teresa",何靜文,6
ARI207,SDHG International Asset Management Limited,BGR488,HONG Xueting,洪雪庭,9
ARI207,SDHG International Asset Management Limited,BLU642,LIU Yao,劉堯,"4,9"
ARI207,SDHG International Asset Management Limited,BAI408,WONG Yau Shing,黃有成,"4,5,6,9"
ARI207,SDHG International Asset Management Limited,AXF377,YANG Qi,楊麒,"4,9"
ARI207,SDHG International Asset Management Limited,AVM870,ZHONG Xuqi,鍾旭麒,"4,5,9"
AQY262,SEAVI Advent Ocean Private Equity Limited,AQY268,"CHAN Hoi Sing, Harold",陳愷承,9
AQY262,SEAVI Advent Ocean Private Equity Limited,AQY270,"CHAN Lau Yui, Kevin",陳劉裔,9
ASW870,Springboard Capital Limited,ANW417,CHAN Tsz Hon,陳子漢,"4,9"
ASW870,Springboard Capital Limited,ACZ289,HUGH Chuen Loong,丘俊隆,"4,9"
ASW870,Springboard Capital Limited,ACB812,"WONG Kin, Kenneth",黃健,"4,9"
ATW997,Silver Spring Capital Management Limited,AEH431,DAYAL Prasoon,太白信,9
ATW997,Silver Spring Capital Management Limited,ATX001,KHANDURI Sanjay,,9
AUA833,SC Lowy Asset Management (HK) Limited,ATI488,LEE Soo Cheon,,9
AUA833,SC Lowy Asset Management (HK) Limited,ATI459,LOWY Michel,,9
AUC509,Sophia Asset Management Limited,AOG103,BAI YE Feng,白峰,9
AUC509,Sophia Asset Management Limited,AOX396,"NG Chit Sum, Cynthia",吳哲心,9
AUK151,StormHarbour Securities (Hong Kong) Limited,AJC331,"CHEUNG Chung Wing, Water",張宗永,"1,4,6,9"
AUK151,StormHarbour Securities (Hong Kong) Limited,APG437,CHEUNG Hei,張曦,"4,9"
AUK151,StormHarbour Securities (Hong Kong) Limited,BFN296,FAN Lei,范磊,"4,9"
AUK151,StormHarbour Securities (Hong Kong) Limited,ALB645,LABROUSSE Michel Eric,,"1,4,6"
AUM670,Safari Asia Limited,BJC747,DU Sixin,杜思欣,"4,9"
AUM670,Safari Asia Limited,BEZ139,LAI Sze Yau Vivien,黎思攸,"1,4,9"
AUM670,Safari Asia Limited,BBX828,MAN Kin Kwan,文建軍,"1,4"
AUM670,Safari Asia Limited,BOH836,WONG Hoi Cheung,王海祥,9
AUZ600,Synergy Fund Management Group Limited,ACO911,"LAU Sau Han, Eliza",劉秀嫻,"4,9"
AUZ600,Synergy Fund Management Group Limited,BKF573,PAO David,鮑彥誠,"4,9"
AUZ600,Synergy Fund Management Group Limited,BAU587,TSANG Rebecca,曾慶然,"4,9"
AVD061,Saxo Capital Markets HK Limited,BTQ997,MOH Benedict Shang Wei,毛尚偉,"1,2,3,4,9"
AVI139,SDIC Securities Asset Management (Hong Kong) Limited,AYF260,CHEN Ning,陳宁,"4,9"
AVI139,SDIC Securities Asset Management (Hong Kong) Limited,AMA243,"LAI Ka Yan, Andrea",黎嘉欣,"4,9"
AVI139,SDIC Securities Asset Management (Hong Kong) Limited,BVV104,PENG Denghua,彭鄧華,"4,9"
AVI139,SDIC Securities Asset Management (Hong Kong) Limited,BLM032,XIONG Qingxi,熊卿汐,"4,9"
AVT667,SKYVAST ASSET MANAGEMENT LIMITED,AHV479,"LEE Tak Mong, Felix",李德望,"4,9"
AVT667,SKYVAST ASSET MANAGEMENT LIMITED,AZD137,LO Tak Wing,盧得榮,"4,9"
AWA657,SunAsia Investment Management Limited,AAC266,CHAN Kwong Yeung,陳廣揚,9
AWA657,SunAsia Investment Management Limited,AAE196,CHING Tammy S.,孫德薇,9
AWA657,SunAsia Investment Management Limited,AGA901,"TANG Chun Ting, Christopher Archer",鄧振廷,9
AWD579,Shining Capital Management Hong Kong Limited,AFZ494,WENG Xiangwei,翁向煒,9
AWD579,Shining Capital Management Hong Kong Limited,BIL982,YIN Sze Long,尹思朗,9
AWE828,Silverhorn Investment Advisors Limited,AOL063,IMAM Michael Raza,,"1,4,9"
AWE828,Silverhorn Investment Advisors Limited,BTK681,JIANG Yuanyuan,姜媛媛,"1,4,9"
AWE828,Silverhorn Investment Advisors Limited,BQM358,LEUNG Hui Yu Teresa,梁煦如,"4,9"
AWQ098,Springs Capital (Hong Kong) Limited,AQY192,"MA Chi Wing, Sidney",馬志榮,1
AWQ098,Springs Capital (Hong Kong) Limited,BDH009,QIU Xiaolei,裘瀟磊,"1,4,9"
AWQ098,Springs Capital (Hong Kong) Limited,AWQ102,TIAN Jing,田晶,"1,4,9"
AWQ098,Springs Capital (Hong Kong) Limited,AWQ122,ZHAO Jun,赵军,"4,9"
AXC415,Sheng Yuan Asset Management Limited,BNW202,JIA Yuzhe,賈鈺哲,"4,9"
AXC415,Sheng Yuan Asset Management Limited,AUV179,LI Bing,李兵,"4,9"
AXC415,Sheng Yuan Asset Management Limited,BDQ909,LI Hongli,李宏麗,"4,9"
AXI538,Swiss China Capital Limited,AXI540,KRETZ Laurent Bernard,,"4,9"
AXI538,Swiss China Capital Limited,AXI541,KRETZ Philippe Olivier,,"4,9"
AXI538,Swiss China Capital Limited,BFH225,LAURIN Julian Gregory,,"4,9"
AXN195,Sylebra Capital Limited,BNI997,CHARLESWORTH Jackie Louise,,9
AXN195,Sylebra Capital Limited,AXN216,GIBSON Daniel Patrick,,9
AXN195,Sylebra Capital Limited,AOS661,WHITEHEAD Matthew Charles,,9
AYA628,Soochow Securities International Asset Management Limited,BMA563,CAI Chengxi,蔡琤西,"4,9"
AYA628,Soochow Securities International Asset Management Limited,BDL890,LIU Yihe,劉一賀,"4,9"
AYA628,Soochow Securities International Asset Management Limited,BBL833,WANG Dong,王棟,"4,9"
AYA628,Soochow Securities International Asset Management Limited,BMP755,WANG Shali,汪沙莉,"4,9"
AYA628,Soochow Securities International Asset Management Limited,BBP233,ZHANG Ye,張曄,9
AYB898,Superactive Financial Group Company Limited,AGH950,"LAU Chin Yung, Andy",劉展榕,"4,5,9"
AYB898,Superactive Financial Group Company Limited,AEA554,SIH David Shuh-Ren,薛樹仁,"4,5,9"
AYB898,Superactive Financial Group Company Limited,AEZ347,WONG Kam Wah,黃錦華,6
AYB898,Superactive Financial Group Company Limited,AUT720,YU Ming Lung,余銘龍,"4,5,6,9"
AYM670,State Fortune Capital Management Limited,APH716,TAN Dao Gyng,陳道烱,"4,9"
AYM670,State Fortune Capital Management Limited,ALW306,ZHU Jianming,朱健明,"4,9"
BAA372,Sarafin Capital Partners Limited,BIZ165,CHAD Kenneth Walter,卓翹楗,9
BAA372,Sarafin Capital Partners Limited,ABX208,MERCER Alan Kenneth,,9
