corp_ceref,corp_name,ro_ceref,ro_full_name,ro_first_short,ro_first_full,ro_last,ro_name_chi,ro_ra_types
AGH102,Altus Capital Limited,BEK751,TAM Leo Ho Kei,Leo,Leo Ho Kei,Tam,譚浩基,6
AHH120,Asia Pacific Financial Capital Limited,APR030,CHIN Sui Ying,Sui Ying,Sui Ying,Chin,錢瑞英,6
AHH120,Asia Pacific Financial Capital Limited,AHN494,LI Ping Sun,Ping Sun,Ping Sun,Li,李炳燊,6
AHH123,Asia Pacific Securities Limited,ANP491,CHANG Hsun Fang,Hsun Fang,Hsun Fang,Chang,張薰方,4
AHH123,Asia Pacific Securities Limited,APR030,CHIN Sui Ying,Sui Ying,Sui Ying,Chin,錢瑞英,1
AHH123,Asia Pacific Securities Limited,AHN494,LI Ping Sun,Ping Sun,Ping Sun,Li,李炳燊,"1,2,4"
AHN919,Argyle Street Management Limited,AEO347,CHAN Kin,Kin,Kin,Chan,陳健,"4,9"
AHN919,Argyle Street Management Limited,BFS120,CHAN Kwun Ho,Kwun Ho,Kwun Ho,Chan,陳冠豪,"4,9"
AHN919,Argyle Street Management Limited,ARO469,"CHAN Yan Ho, Leo",Leo,Yan Ho,Chan,陳欣豪,"4,9"
AHN919,Argyle Street Management Limited,ADX892,"LI Yick Yee, Angie",Angie,Yick Yee,Li,李亦宜,"4,9"
AHN919,Argyle Street Management Limited,AQV656,LUI Ping Sum,Ping Sum,Ping Sum,Lui,雷炳森,"4,9"
AIC891,Asia Pacific Capital (HK) Limited,AFG102,IP Woon Lai,Woon Lai,Woon Lai,Ip,葉煥禮,"4,9"
AIC891,Asia Pacific Capital (HK) Limited,AGN038,KOTHARI Ashok Sanatkumar,Ashok,Ashok Sanatkumar,Kothari,,"4,9"
AJD993,Altruist Financial Group Limited,AKS993,"CHEUNG Sung Yiu, Raymond",Raymond,Sung Yiu,Cheung,張崇堯,"1,4,9"
AJD993,Altruist Financial Group Limited,ARH150,"CHOW Nga Yee, Aimee",Aimee,Nga Yee,Chow,周雅怡,"4,9"
AJD993,Altruist Financial Group Limited,ALN862,KWOK Ka Hing,Ka Hing,Ka Hing,Kwok,郭家興,"1,4"
AJN974,AD Capital Management (Hong Kong) Limited,AFZ713,AU YEUNG Tat H,Yeung,Yeung Tat H,Au,歐陽達顯,"4,5,9"
AJN974,AD Capital Management (Hong Kong) Limited,ARG931,"CHENG Kwok Kin, Benjamin",Benjamin,Kwok Kin,Cheng,鄭國健,"4,5,9"
AJE027,Aktis Capital Advisory Limited,AVP920,LI Wai Lum,Wai Lum,Wai Lum,Li,李偉霖,9
AJE027,Aktis Capital Advisory Limited,ABW440,YEE Danny Ong,Danny Ong,Danny Ong,Yee,鄧若舟,"4,5,9"
AJF298,AlTi Wealth Management (Hong Kong) Limited,AEZ188,GREEN Joshua Michael,Joshua,Joshua Michael,Green,,"1,4,5,9"
AJF298,AlTi Wealth Management (Hong Kong) Limited,AEI058,KONG Gideon Tsz Chung,Gideon,Gideon Tsz Chung,Kong,江子聰,"1,4,5,9"
ALW770,AM Squared Limited,AXA029,CHOI Cary,Cary,Cary,Choi,蔡偉軒,9
ALW770,AM Squared Limited,AUW031,CHU Richard Shan Yao,Richard,Richard Shan Yao,Chu,朱善堯,9
ALW770,AM Squared Limited,ANQ210,MENON Arjun Vikram,Arjun,Arjun Vikram,Menon,,9
ALY555,Astrum Capital Management Limited,ABS482,CHENG Ka Wa,Ka Wa,Ka Wa,Cheng,鄭家華,9
ALY555,Astrum Capital Management Limited,BEN845,CHU Kam Hung,Kam Hung,Kam Hung,Chu,朱錦鴻,"1,6,9"
ALY555,Astrum Capital Management Limited,ADY552,"FUNG Tat Hung, Ricky",Ricky,Tat Hung,Fung,馮達雄,"1,2,9"
ALY555,Astrum Capital Management Limited,AFD213,HUI Kei Man,Kei Man,Kei Man,Hui,許紀文,9
ALY555,Astrum Capital Management Limited,ADX085,"KWAN Chun Yee, Hidulf",Hidulf,Chun Yee,Kwan,關振義,"1,6,9"
ALY555,Astrum Capital Management Limited,ABZ886,PAN Chik,Chik,Chik,Pan,潘稷,"1,2,6,9"
ALY555,Astrum Capital Management Limited,ACI566,SIU Kam Chau,Kam Chau,Kam Chau,Siu,蕭錦秋,6
ALY555,Astrum Capital Management Limited,AXY064,TSANG Po Wan,Po Wan,Po Wan,Tsang,曾寶雲,6
ALY555,Astrum Capital Management Limited,ATO931,TSUNG Kelvin,Kelvin,Kelvin,Tsung,叢安隆,1
AMT657,Asset Management Group Limited,ABT384,AU Yu Ching,Yu Ching,Yu Ching,Au,區裕正,"4,9"
AMT657,Asset Management Group Limited,ACJ228,"LUI Chi Hoi, John",John,Chi Hoi,Lui,雷志海,"4,9"
AMT657,Asset Management Group Limited,AJA400,TSE Kwok Lun,Kwok Lun,Kwok Lun,Tse,謝國綸,"1,4,9"
AMT657,Asset Management Group Limited,AFT272,YONG Chi Sing,Chi Sing,Chi Sing,Yong,楊志成,"1,4,9"
ANR899,Alpha Wealth Management Limited,AKL722,LEE Chi Ming,Chi Ming,Chi Ming,Lee,李志明,"4,9"
ANR899,Alpha Wealth Management Limited,AFC358,WONG Kwok King,Kwok King,Kwok King,Wong,黃國經,"4,9"
AOA508,Abridge Enterprises Company Limited,ABT991,CHIU Man Wai,Man Wai,Man Wai,Chiu,趙文煒,"4,9"
